zip,estimate,house area,lot area,high,low,month value change,property tax,LAT,LNG
77003,304618.52,1728.4527162977868,3171.1673387096776,329690.96,281187.204,745.2213279678068,245600.00203252034,29.749778000000003,-95.345885
77004,332700.348,2040.9598393574297,6091.640562248996,365302.716,302881.67,-647.4589178356713,255145.0525252525,29.724892999999998,-95.363752
77005,1185270.596,3363.54,7277.734406438632,1282708.42,1099375.018,10074.394789579159,1194510.8136272545,29.718434999999996,-95.42355500000001
77006,642616.528,2387.0261044176705,4935.989517819707,702146.308,591382.956,3892.1062124248497,580366.2489795919,29.74097,-95.391301
77007,528380.128,2360.6352705410823,3457.9878542510123,568855.332,490881.38,-1220.4529058116232,502287.67741935485,29.771545,-95.41108299999999
77008,533863.85,2018.556,6412.385858585859,576880.306,496881.982,2729.164328657315,475896.92525252525,29.798249,-95.416933
77009,409886.582,1515.4748490945674,5665.320564516129,451771.386,374651.414,3926.987951807229,331628.14024390245,29.795344,-95.36759
77011,176917.152,1255.09,5332.472945891784,200831.092,156254.504,1971.788,94317.86144578313,29.743216999999998,-95.30911
77012,133163.768,1228.805611222445,5642.076305220883,148708.63,118623.484,1701.224,78640.66532258065,29.718525,-95.274137
77013,140875.606,1512.776,11796.918,150485.66,130264.036,989.882,92886.23,29.795268,-95.233977
77014,171051.16,2122.610441767068,6704.638,180905.216,160350.916,41.518,145139.59919839678,29.981209000000003,-95.463971
77015,147701.038,1325.194779116466,14204.61203319502,166944.742,128742.26,3295.768,97063.4426559356,29.76393,-95.173121
77016,112683.244,1400.9678068410462,9269.557114228457,122326.688,102962.888,593.938,63754.359437751,29.862532,-95.29998
77017,145472.406,1454.434869739479,8995.808,156244.164,134175.67,117.644,98196.93,29.689823999999998,-95.25239300000001
77018,466630.782,2123.9517102615696,19097.36546184739,505292.626,431279.24,554.044,399779.73535353533,29.826448,-95.42626700000001
77019,1337546.668,3447.7394789579157,9127.53427419355,1516825.42,1234718.354,-558.7254509018036,1368547.5754527163,29.75415,-95.409498
77020,134260.098,1201.8455284552845,5459.108433734939,152238.644,121889.014,-2146.4048096192387,77215.79233870968,29.773179,-95.314327
77021,185627.426,1579.4929859719439,7571.275100401606,204228.258,167531.134,511.224,121730.2951807229,29.69843,-95.3569
77022,167988.164,1329.004016064257,8796.495983935743,188902.046,148036.2,2196.98,109955.44064386318,29.831590000000002,-95.379554
77023,238555.702,1484.066265060241,6624.4357429718875,262324.7,216658.416,1900.14,161797.94141414142,29.721825,-95.318275
77024,1311313.4,4146.409638554217,27985.34381551363,1421993.648,1210999.696,-688.116,1385593.8848484848,29.772178999999998,-95.51420300000001
77025,515113.218,2482.76753507014,7127.454361054767,552602.988,480175.838,-227.056,493632.4464646465,29.685706,-95.434764
77026,118762.048,1221.6686868686868,8343.997987927565,133092.784,105943.892,716.274,62251.84989858012,29.800187,-95.328888
77027,1077188.354,3279.528112449799,8373.41841004184,1174902.294,991698.634,1735.9679358717435,1078855.111111111,29.740078999999998,-95.446409
77028,102942.398,1272.3863179074447,11457.472,112791.962,92649.172,3659.414,49562.04208416834,29.827869,-95.287485
77029,108084.136,1230.4759036144578,7114.953815261044,117458.594,97855.06,750.38,60665.76458752515,29.759665000000002,-95.256251
77030,845639.132,2851.5791583166333,8046.695564516129,913696.806,782877.126,-1690.872,803803.4457831326,29.706787,-95.401748
77031,191397.312,1981.6012024048096,9305.33606557377,203239.982,178756.638,1469.832,164038.212,29.652205,-95.54623000000001
77032,130809.128,1495.949290060852,12215.897177419354,141647.856,118816.968,455.424,86018.59519038076,29.987804999999998,-95.353412
77033,106051.39,1294.2144288577153,7267.815631262525,115653.072,96137.454,1313.682,56992.22845691383,29.66688,-95.335133
77034,222138.954,1584.8517034068136,8576.614,258696.658,167003.856,470.846,142549.166,29.61951,-95.191644
77035,258320.1,1816.7374749498997,8895.752066115703,280453.898,240614.01,2124.006,214135.3935742972,29.655503000000003,-95.471663
77036,197854.82,1989.784,151813.6505263158,213615.934,183643.588,487.294,176269.47283702213,29.701846999999997,-95.534537
77037,146236.228,1447.8534136546184,14278.861788617885,159392.574,131239.72,836.66,99566.644,29.890359999999998,-95.392527
77038,147078.53,1652.1468812877263,8236.667342799188,157115.94,135349.462,834.912,123580.76518218624,29.918595,-95.441194
77039,151502.88,1450.5838383838384,19694.719191919194,164641.78,137732.65,1036.792,111360.31124497992,29.911171000000003,-95.34118199999999
77040,230727.294,1768.2184368737476,9843.264462809917,266034.784,203767.306,1326.598,203095.994,29.874575,-95.52709899999999
77041,265189.594,2313.0280561122245,8907.507042253521,284812.404,244948.36,1554.2911646586344,236165.10060362174,29.8586,-95.580768
77042,415255.52,2428.7274549098197,16924.914425427873,446791.602,386736.202,540.522,378041.9655172414,29.741325,-95.560254
77043,299761.762,2041.8614457831325,8448.195175438597,321270.586,279459.764,22.978,247178.58181818182,29.81093,-95.584639
77044,166533.902,1785.8020202020202,14335.629327902241,178321.57,153963.01,1213.186,117908.3453815261,29.906615999999996,-95.18060799999999
77045,139550.872,1514.5751503006013,7993.597194388778,148869.518,129977.852,1009.07,96529.57,29.635793,-95.432889
77047,182574.528,1846.4,8168.645290581162,194350.474,170990.166,762.332,149023.62,29.61065,-95.386863
77048,148134.57,1546.738430583501,12917.254032258064,159499.652,136610.076,2336.59,98096.00400801603,29.618714,-95.324221
77049,183437.228,2013.1646586345382,8740.19639278557,194416.004,171993.716,381.63,145770.218,29.832928000000003,-95.14904
77050,151100.308,1588.4634146341464,36513.43958333333,164992.244,136335.414,860.284,83476.08016032063,29.902887,-95.269296
77051,126181.192,1344.7825203252032,6609.783567134268,137384.742,115396.286,1192.8136272545091,76165.08048289738,29.656113,-95.37869599999999
77053,135922.632,1425.7334669338677,6572.045945945946,145691.522,125438.118,1775.692,106383.92985971944,29.583541999999998,-95.460693
77054,246988.786,1781.8949494949495,50433.27407407408,274246.038,225472.89,-1324.8709677419354,244301.61363636365,29.68025,-95.404913
77055,619098.068,2470.444,9852.189024390244,666635.492,575018.852,3382.3995983935743,581873.340770791,29.796871000000003,-95.49165
77056,1144477.22,3952.074148296593,10797.330526315789,1251102.552,1054554.496,2122.122,1158416.264529058,29.748202000000003,-95.468948
77057,544753.874,2445.1102204408817,27943.70625,604461.282,499927.46,2823.166,560384.0864745011,29.744081,-95.487974
77058,262491.45,2113.0881763527054,570383.1042183622,288873.068,241931.066,-125.65130260521042,227476.34685598378,29.561579,-95.099626
77059,372414.436,3026.0803212851406,10379.53507014028,408986.142,349479.064,73.306,322584.11823647295,29.613602,-95.11936999999999
77060,132329.236,1470.4738955823293,11400.85775862069,141968.728,121192.976,184.538,101749.44779116465,29.935512,-95.397624
77061,182197.722,1827.908,1192568.4122621564,196355.732,167359.34,1427.246,132358.81963927855,29.647022999999997,-95.276656
77062,269900.238,2207.434,9905.032586558045,294398.088,247983.118,-5.806,244320.95381526105,29.573552000000003,-95.130613
77063,422979.878,2307.3607214428857,19175.227621483376,460765.546,390657.958,561.626,374560.6935483871,29.736295000000002,-95.523292
77064,204763.046,2070.714,8677.127016129032,216952.17,191907.462,220.522,182025.676,29.918045000000003,-95.535685
77065,209428.15,2138.4647887323945,11098.080160320642,221355.332,196322.378,145.062,181656.838,29.926472999999998,-95.60379
77066,175210.02,2036.6753507014027,8471.344689378757,185051.792,164314.384,1224.522,141287.378,29.957234000000003,-95.503258
77067,148931.116,1766.9498997995993,6988.748,157739.286,138970.474,618.334,124312.656,29.952628999999998,-95.446609
77068,264220.524,3057.898,12043.396793587175,280552.116,248123.826,1188.454,227369.416,30.007063,-95.488362
77069,297913.758,3058.382,11284.774,316120.016,279456.94,477.506,270077.104,29.988455,-95.5312
77070,210766.574,2225.198396793587,498177.0360721443,222981.804,197666.608,435.06,180197.56713426852,29.979647999999997,-95.572877
77071,188235.844,2106.3092369477913,7773.07284768212,201174.22,175140.428,1273.918,159471.1875,29.651728000000002,-95.51991899999999
77072,142831.072,1626.624497991968,6497.817745803357,152381.054,132843.354,635.23,123638.3092369478,29.699688000000002,-95.584817
77073,161677.074,1887.538775510204,5475.9177215189875,171344.392,150876.408,-249.082,127128.39637826962,29.999166,-95.40011899999999
77074,183341.908,1634.4136546184739,9344.616033755274,198872.108,168670.552,747.798,148672.42570281125,29.687946999999998,-95.515725
77075,179697.178,1791.43,8452.180161943319,191374.538,167309.454,970.086,141574.30260521043,29.620420000000003,-95.268939
77076,131339.456,1329.9314516129032,8804.658,142282.09,117710.738,-219.912,88099.804,29.860021000000003,-95.382184
77077,349429.65,2455.9559118236475,18292.303879310344,371398.5,327027.108,1023.28,334121.016064257,29.750233,-95.615383
77078,115481.66,1325.7274549098197,8456.12,125208.284,105075.218,1346.09,59406.13,29.852396999999996,-95.2541
77079,546137.252,2764.9779116465866,16374.92033542977,586683.774,507943.42,1999.934,524379.8032786886,29.776093,-95.603037
77080,290979.476,1846.092,9762.39587628866,312679.874,269160.102,3061.758,235074.26,29.815894,-95.522885
77081,413425.554,2299.6907630522087,8667.199579831933,452223.404,379773.486,1268.176,374618.96774193546,29.712099,-95.480935
77082,253923.898,2217.714,8399.716297786721,270358.944,237103.93,49.182,232068.038,29.724490000000003,-95.640002
77083,182940.794,2008.064,6896.214689265536,194124.52,170606.44,2761.382,161823.07014028056,29.694395,-95.649569
77084,218395.976,2206.514,7745.068273092369,236412.578,200462.836,937.352,190464.91549295775,29.827485999999997,-95.65992
77085,161841.156,1668.2670682730923,8614.792682926829,174319.466,148680.804,124.004,132582.1827309237,29.620509000000002,-95.485333
77086,157962.356,1678.14,10937.358299595142,168060.824,146285.524,391.846,128763.69138276554,29.919034999999997,-95.491607
77087,143767.902,1467.929718875502,7966.909819639279,156414.224,130976.152,1999.334,93361.37148594378,29.686519,-95.303917
77088,147855.534,1715.2550200803212,8368.421686746988,159516.382,135284.294,1048.084,111632.7751004016,29.881487,-95.452619
77089,219500.602,2167.9899799599198,7749.9637096774195,233307.182,205295.526,-151.248,189507.19438877754,29.586959000000004,-95.225601
77090,187833.556,2435.226907630522,9476.512295081968,200673.218,174880.532,-151.502,156655.38787878788,30.00824,-95.438996
77091,178191.562,1642.3038229376257,10742.874,194157.106,163105.05,2166.894,119672.2364729459,29.853067,-95.43596600000001
77092,242305.686,1601.5522088353414,8793.358762886597,261994.948,223136.956,1152.028,202604.1008064516,29.830023999999998,-95.474409
77093,124947.878,1276.1871227364186,13084.595573440643,138019.406,111497.052,1062.0,73868.64658634538,29.8634,-95.341409
77094,445836.882,3227.9118236472946,10253.178356713426,474482.696,419085.212,283.946,442343.6032064128,29.769284999999996,-95.681292
77095,226932.684,2382.9679358717435,8297.310621242485,239696.44,213861.224,25.724,203916.88,29.909513,-95.651476
77096,379545.46,2402.5370741482966,1011239.3264887064,407915.412,352047.568,4825.364,330945.812,29.675339,-95.479372
77098,903371.87,2611.1402805611224,8630.503239740821,1153378.094,832248.394,-606.4468937875752,680986.803245436,29.734813,-95.416098
77099,153013.132,1710.190763052209,7220.53781512605,162568.672,142455.332,611.52,127688.81488933602,29.670869,-95.58599
77336,281375.68,2220.973630831643,62637.43762781186,309170.08,255256.462,1906.296,215736.7615230461,30.063168,-95.09885799999999
77338,172952.046,1802.4397590361446,11420.61971830986,184851.562,160527.868,341.678,143284.17269076305,30.017301,-95.28621700000001
77339,272128.512,2603.746,13077.1046277666,290728.3,253432.7,-1885.692,237851.87525150905,30.046777000000002,-95.22102199999999
77345,326330.102,3052.2645290581163,10383.622,347714.044,307144.476,491.126,292887.7,30.053105,-95.157943
77346,247649.548,2586.4277108433735,7572.102,266669.8,233660.176,42.928,216272.768,29.994498999999998,-95.177499
77357,150546.628,1596.1941544885178,43939.19603524229,173243.026,128097.41,800.3132530120482,92188.79476861167,30.161065,-95.189809
77373,153220.062,1654.818,10150.738955823294,162488.708,143450.092,589.984,125515.13026052104,30.062169,-95.383966
77375,217457.98,2147.9939879759518,11539.61052631579,232154.586,202339.288,839.13,181463.843373494,30.094886,-95.58583
77377,270117.946,2634.3561368209257,14423.831663326653,285961.982,254286.974,255.078,241696.16032064127,30.061727,-95.681504
77379,289825.38,3026.426,13074.699596774193,307329.468,272013.67,551.148,256152.524,30.040876,-95.528914
77388,244311.108,2615.692,10130.589178356713,258265.72,229627.378,863.174,214670.60521042085,30.057802000000002,-95.470985
77389,302047.312,2587.334004024145,14305.885480572597,323906.618,280033.594,687.627254509018,260105.826,30.123469,-95.517064
77396,238352.668,2442.4607645875253,9962.741869918698,253380.06,223456.014,301.1202404809619,203603.91767068274,29.945204999999998,-95.259778
77401,813535.256,3300.414,8559.0125,879925.356,757373.024,1470.618,807461.05,29.704019,-95.46090500000001
77429,350866.104,2603.41,16097.274,440854.806,323210.066,192.368,244819.996,29.998421,-95.66736
77433,217132.006,2279.094,6766.214428857716,229949.62,203343.634,-745.042,196677.1482965932,29.934371000000002,-95.747578
77447,266569.188,1980.3048780487804,104485.71457489878,295473.472,241968.2,865.9392712550607,209881.90120967742,30.047619,-95.833733
77449,183784.2,1930.3393939393939,6767.193939393939,194341.638,172620.738,231.33,161160.77620967742,29.837571999999998,-95.733754
77450,362676.426,3120.632,4397169.454965358,384847.206,340927.96,4665.598,314936.49,29.745246999999996,-95.741783
77484,239470.996,1835.3121149897331,139315.13186813187,274405.542,210652.412,2779.0731707317073,176014.96565656565,30.079431,-95.932255
77493,255724.32,2260.3567134268537,17584.71165644172,272968.806,239117.246,-834.3152610441767,227979.60320641284,29.853215000000002,-95.831456
77502,156018.824,1576.2965931863728,8474.41935483871,166735.242,144570.502,415.682,117489.39,29.679517999999998,-95.199783
77503,153943.262,1419.0220440881762,10133.44578313253,164630.07,141436.31,276.104,116620.18036072144,29.703477000000003,-95.158895
77504,204984.198,1881.3446893787575,11439.625766871166,217952.3,191617.764,753.474,172139.20080321285,29.647916,-95.18978
77505,240258.124,2092.306,9276.928,258998.496,225499.91,243.484,203104.364,29.645646000000003,-95.14030699999999
77506,119807.56,1270.3286573146293,7057.769076305221,129065.76,108621.78,743.056,79034.20641282565,29.713919,-95.199702
77520,123749.184,1429.6593186372745,10606.645290581162,134267.552,111924.714,2427.5,84517.836,29.733275,-94.994118
77521,182018.16,1870.652,15251.900826446281,195358.188,168809.51,66.162,137280.534,29.802460999999997,-94.970322
77530,154569.018,1521.784708249497,13568.61776859504,166961.526,142209.406,1785.38,103824.026,29.785907,-95.117207
77532,190884.936,1837.891836734694,1144562.7085020242,206807.78,174753.908,1811.924,131035.404,29.932871999999996,-95.057187
77536,214350.782,1957.1646586345382,9071.89939637827,226931.898,201369.144,12.188,181572.5875251509,29.698460999999998,-95.121268
77546,388925.292,3083.798,23247.118236472947,426156.158,355392.446,256.168,329926.04809619236,29.515074,-95.192133
77547,114225.26,1302.074,6966.528,123343.64,104058.27,1751.958,67341.61723446894,29.735876,-95.238178
77562,172376.402,1558.5878787878787,30267.254032258064,188330.476,155554.104,1532.2,119935.84769539078,29.834034000000003,-95.05126700000001
77571,192349.13,1752.568,9814.954356846472,206246.944,178489.65,-497.788,155797.126,29.688459,-95.057379
77586,306169.674,2505.9739478957918,11979.337398373984,330028.422,283307.076,-761.746,267028.96793587174,29.583816,-95.03616600000001
77587,136025.936,1340.8531187122737,7990.362903225807,147423.674,122661.458,-145.412,98230.32665330662,29.661032000000002,-95.229784
77598,204479.832,1768.376753507014,8842.415478615072,216426.154,191661.224,-562.918,171539.2323232323,29.539422,-95.13499499999999
